,fam:Android,fam:Linux,fam:Windows,fam:iOS,fam:macOS
fam:Android,972,4,9,0,1
fam:Linux,19,161,8,0,3
fam:Windows,86,31,3435,2,38
fam:iOS,0,1,1,807,4
fam:macOS,1,3,6,47,435
